index,Cinsiyet,Yaş Grubu,Medeni Durum,Eğitim Düzeyi,İstihdam Durumu,Yıllık Ortalama Gelir,Yaşadığı Şehir,En Çok İlgilendiği Ürün Grubu,Yıllık Ortalama Satın Alım Miktarı,Yıllık Ortalama Sipariş Verilen Ürün Adedi,Eğitime Devam Etme Durumu,Öbek İsmi,Yıllık Ortalama Sepete Atılan Ürün Adedi
2002,Kadın,>60,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,342380.714136854,Küçük Şehir,Ev ve Mobilya,24312.026055925,20.6020060553985,Etmiyor,obek_7,105.663032091732
2003,Kadın,41-50,Bekar,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,203399.00660429,Köy veya Kasaba,Giyim,3644.59510112828,11.0869618073908,Ediyor,obek_5,98.3807229182401
2004,Erkek,18-30,Bekar,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,247645.300506238,Büyük Şehir,Spor Malzemeleri,9575.27009686051,56.014848197459,Ediyor,obek_8,152.415559655213
2005,Kadın,41-50,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,333676.375921816,Küçük Şehir,Ev ve Mobilya,25421.0231737492,15.719237909664,Etmiyor,obek_7,99.4110690758301
2006,Kadın,51-60,Evli,Üniversite Mezunu,Emekli,494176.293292824,Köy veya Kasaba,Giyim,43217.0575201964,28.7785111504302,Etmiyor,obek_6,42.291964201058
2007,Erkek,51-60,Evli,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,291070.391339378,Küçük Şehir,Ev ve Mobilya,6630.12042389359,12.4858737846247,Etmiyor,obek_8,14.3720817076915
2008,Kadın,51-60,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,354683.548719576,Büyük Şehir,Ev ve Mobilya,31323.549386726,20.2922771250129,Etmiyor,obek_7,95.6323459321023
2009,Erkek,>60,Evli,Doktora Ötesi,Emekli,453423.276703685,Büyük Şehir,Spor Malzemeleri,47524.2751551927,29.3096050113163,Etmiyor,obek_6,52.0187481953343
2010,Erkek,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,265927.090801268,Büyük Şehir,Ev ve Mobilya,9368.34437835053,57.642420215696,Ediyor,obek_8,116.258457940551
2011,Erkek,51-60,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,413351.47533784,Büyük Şehir,Ev ve Mobilya,6198.18474591175,15.7483514289924,Etmiyor,obek_3,15.7483514289924
2012,Kadın,31-40,Bekar,Doktora Ötesi,Kendi İşinin Sahibi,1027765.62057913,Büyük Şehir,Kozmetik,35510.2292465134,38.6208345853298,Etmiyor,obek_4,98.6501082416013
2013,Kadın,41-50,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,363067.673396273,Büyük Şehir,Kozmetik,33919.8744661789,20.6027068467667,Etmiyor,obek_7,102.517482122944
2014,Erkek,51-60,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,476808.656982103,Köy veya Kasaba,Ev ve Mobilya,38055.8922012331,33.149179240272,Etmiyor,obek_6,56.3252440422097
2015,Erkek,18-30,Evli,Üniversite Mezunu,Kendi İşinin Sahibi,220612.621480926,Kırsal,Ev ve Mobilya,5489.77076082348,6.5572775374254,Etmiyor,obek_1,7.74290943873908
2016,Erkek,18-30,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,965435.749013125,Büyük Şehir,Kozmetik,35605.4317566391,43.6934462948101,Etmiyor,obek_4,89.8386008957003
2017,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,876424.273760849,Büyük Şehir,Ev ve Mobilya,32611.031361416,38.4767896740437,Etmiyor,obek_4,104.704026903826
2018,Erkek,41-50,Evli,Lise Mezunu,Emekli,156174.584088795,Köy veya Kasaba,Spor Malzemeleri,6626.79286668683,14.481957953665,Etmiyor,obek_3,14.481957953665
2019,Erkek,51-60,Bekar,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,225193.560328013,Büyük Şehir,Elektronik ve Teknolojik Ürünler,4176.01627277531,8.74668462160292,Etmiyor,obek_5,101.925389196533
2020,Kadın,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,223672.5655808,Küçük Şehir,Spor Malzemeleri,9545.55702003733,48.5379256641107,Ediyor,obek_8,171.267106569558
2021,Kadın,31-40,Evli,Üniversite Mezunu,Emekli,360823.60147271,Köy veya Kasaba,Ev ve Mobilya,25014.0162357767,20.4901388010604,Etmiyor,obek_7,100.817933148141
2022,Kadın,18-30,Bekar,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,226120.499145674,Küçük Şehir,Giyim,9815.81623291069,48.4215144542615,Ediyor,obek_8,101.274084306825
2023,Kadın,51-60,Evli,Üniversite Mezunu,Kendi İşinin Sahibi,501920.313860501,Kırsal,Giyim,35971.0825416301,34.6283008396422,Etmiyor,obek_6,43.4129034002492
2024,Kadın,18-30,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,229323.338430367,Küçük Şehir,Elektronik ve Teknolojik Ürünler,9189.05807773709,64.6161959865287,Ediyor,obek_8,164.719844463719
2025,Erkek,31-40,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,765866.637589838,Büyük Şehir,Spor Malzemeleri,32682.6978723121,42.2731020283822,Etmiyor,obek_4,104.013226580921
2026,Erkek,51-60,Bekar,Üniversite Mezunu,Emekli,483336.061695906,Küçük Şehir,Ev ve Mobilya,43664.4366428848,33.2365497509926,Etmiyor,obek_6,44.0815840467316
2027,Erkek,>60,Bekar,İlkokul Mezunu,Kendi İşinin Sahibi,114113.821885563,Küçük Şehir,Spor Malzemeleri,5710.95749137473,16.5070929876762,Etmiyor,obek_3,17.435652497342
2028,Kadın,31-40,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,137484.517766697,Küçük Şehir,Giyim,3617.01228012809,23.2033854000117,Etmiyor,obek_2,41.3108662878034
2029,Kadın,51-60,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,487550.584807207,Köy veya Kasaba,Giyim,46116.7270617755,30.392287448023,Etmiyor,obek_6,49.9447836229091
2030,Erkek,41-50,Evli,Lise Mezunu,Kendi İşinin Sahibi,247061.270673678,Küçük Şehir,Spor Malzemeleri,6904.42644191967,15.2758790132611,Etmiyor,obek_3,15.2758790132611
2031,Erkek,31-40,Bekar,Doktora Mezunu,Kendi İşinin Sahibi,883993.050661024,Büyük Şehir,Giyim,38444.2808557664,39.8805051807147,Etmiyor,obek_4,108.022095183483
2032,Kadın,31-40,Bekar,Lise Mezunu,Kendi İşinin Sahibi,361522.965116059,Büyük Şehir,Elektronik ve Teknolojik Ürünler,28364.1666914685,19.7554622962964,Etmiyor,obek_7,111.107285205002
2033,Kadın,31-40,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,721570.311205913,Kırsal,Ev ve Mobilya,35622.4290738851,40.3515120504105,Etmiyor,obek_4,110.490730445368
2034,Erkek,51-60,Evli,Lise Mezunu,Kendi İşinin Sahibi,325043.045752733,Küçük Şehir,Elektronik ve Teknolojik Ürünler,6674.60851863739,15.4383204961068,Etmiyor,obek_3,19.5685508009044
2035,Erkek,31-40,Bekar,Lise Mezunu,Kendi İşinin Sahibi,209377.623554675,Küçük Şehir,Spor Malzemeleri,3619.86132565362,11.3108258721109,Etmiyor,obek_5,114.209329423214
2036,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,369682.75514761,Büyük Şehir,Giyim,25509.853933628,18.026437573711,Etmiyor,obek_7,112.872461239436
2037,Erkek,31-40,Bekar,Yüksek Lisans Mezunu,Emekli,358305.378054315,Büyük Şehir,Elektronik ve Teknolojik Ürünler,24040.4887341048,21.5379624916937,Etmiyor,obek_7,99.4533092722243
2038,Kadın,41-50,Evli,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,365457.019819996,Büyük Şehir,Giyim,22801.7708627543,18.8261017576314,Ediyor,obek_7,99.2626208778448
2039,Erkek,41-50,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,480971.407518988,Kırsal,Ev ve Mobilya,6604.20348629235,13.5237399531423,Etmiyor,obek_3,25.3056304484692
2040,Kadın,18-30,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,156619.746722472,Küçük Şehir,Giyim,3643.1777137286,17.83469659484,Etmiyor,obek_2,48.1390890279949
2041,Erkek,31-40,Bekar,Lise Mezunu,Kendi İşinin Sahibi,220608.639058985,Köy veya Kasaba,Giyim,3854.02079662792,11.7147935090701,Etmiyor,obek_5,97.4681461580694
2042,Erkek,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,310495.455980167,Küçük Şehir,Spor Malzemeleri,8361.33877278679,53.506612629028,Etmiyor,obek_8,150.327031778683
2043,Erkek,31-40,Evli,Lise Mezunu,Kendi İşinin Sahibi,185649.398319791,Büyük Şehir,Spor Malzemeleri,3902.60558464299,10.8297711399552,Ediyor,obek_5,96.5065968071423
2044,Kadın,31-40,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,208160.938634166,Küçük Şehir,Giyim,3574.45648408483,11.2186687711418,Etmiyor,obek_5,87.2574002252228
2045,Kadın,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,232639.039167876,Küçük Şehir,Kozmetik,8939.06083523156,53.1556016894854,Ediyor,obek_8,132.847517320404
2046,Erkek,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,269574.946758017,Küçük Şehir,Elektronik ve Teknolojik Ürünler,4647.82468870686,10.4781485215167,Etmiyor,obek_5,118.230545052432
2047,Kadın,>60,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,120479.732264718,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,3688.21163563032,16.3136594180006,Etmiyor,obek_2,40.9933463450279
2048,Kadın,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,230454.023036561,Küçük Şehir,Elektronik ve Teknolojik Ürünler,8536.13947325476,54.2994285847846,Ediyor,obek_8,188.14074712658
2049,Erkek,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,258512.304587918,Büyük Şehir,Ev ve Mobilya,9673.94625586067,48.4364225148718,Ediyor,obek_8,107.312956778699
2050,Erkek,>60,Evli,İlkokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,448242.249724515,Büyük Şehir,Elektronik ve Teknolojik Ürünler,6108.8773398986,12.4570329979869,Etmiyor,obek_3,16.2777327636096
2051,Kadın,>60,Evli,Üniversite Mezunu,Emekli,480623.207957502,Köy veya Kasaba,Kozmetik,39187.6027852003,30.7615721310342,Etmiyor,obek_1,46.4672505361939
2052,Kadın,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,311170.965991786,Büyük Şehir,Ev ve Mobilya,8447.57179319251,47.8707492847716,Ediyor,obek_8,208.654241895256
2053,Kadın,31-40,Evli,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,232354.304988066,Büyük Şehir,Kozmetik,4234.40610263047,10.1506630768504,Etmiyor,obek_5,94.3158793465575
2054,Erkek,31-40,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,233431.773909316,Büyük Şehir,Elektronik ve Teknolojik Ürünler,4088.18881504334,9.9173361435669,Etmiyor,obek_5,105.539083046144
2055,Erkek,31-40,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,349322.950577081,Küçük Şehir,Ev ve Mobilya,31905.317766578,19.4047685354447,Ediyor,obek_7,96.1467396248392
2056,Erkek,18-30,Bekar,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,155702.667969274,Küçük Şehir,Giyim,6157.20907056167,3.62280548467286,Etmiyor,obek_1,9.21319904469366
2057,Kadın,18-30,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,153544.806532386,Küçük Şehir,Giyim,4107.2520839445,18.3110232567623,Etmiyor,obek_2,39.5601236438635
2058,Kadın,18-30,Bekar,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,766590.201304164,Küçük Şehir,Kozmetik,37206.749795539,39.8897573256557,Etmiyor,obek_4,93.2035208434199
2059,Erkek,>60,Bekar,Lise Mezunu,Kendi İşinin Sahibi,300850.154290469,Küçük Şehir,Ev ve Mobilya,7431.08002497599,15.5273879825033,Etmiyor,obek_3,23.3281219076015
2060,Erkek,>60,Evli,Doktora Ötesi,Kendi İşinin Sahibi,466180.646981899,Kırsal,Spor Malzemeleri,42081.9915804685,28.9694014608033,Etmiyor,obek_6,50.2409302656627
2061,Erkek,51-60,Evli,Yüksek Lisans Mezunu,Emekli,480521.945842423,Kırsal,Elektronik ve Teknolojik Ürünler,43554.7665876178,34.0068413108178,Etmiyor,obek_6,49.1156662983951
2062,Kadın,18-30,Bekar,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,202447.325423886,Büyük Şehir,Elektronik ve Teknolojik Ürünler,9743.25881241408,59.7873927769654,Ediyor,obek_8,151.14198177712
2063,Kadın,31-40,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,746708.546114739,Büyük Şehir,Spor Malzemeleri,31808.6073898211,39.4900847973667,Etmiyor,obek_4,93.6829989392236
2064,Erkek,41-50,Bekar,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,206599.242441513,Büyük Şehir,Elektronik ve Teknolojik Ürünler,3541.30847424751,9.84778798994687,Etmiyor,obek_5,106.447982224795
2065,Kadın,31-40,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,145489.953129642,Kırsal,Giyim,5143.14456891659,6.83886344929194,Etmiyor,obek_1,8.88909792208616
2066,Kadın,31-40,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,340125.764486589,Büyük Şehir,Giyim,27235.8224180364,21.4146800998624,Etmiyor,obek_7,109.408533435999
2067,Erkek,41-50,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,271173.478450863,Büyük Şehir,Spor Malzemeleri,6178.02091613726,14.7056762484559,Etmiyor,obek_3,19.0317304795421
2068,Erkek,>60,Evli,Yüksekokul Mezunu,Düzenli ve Ücretli Bir İşi Var,363454.322413092,Köy veya Kasaba,Giyim,6611.96248249505,12.7436589570523,Etmiyor,obek_3,19.8564774949024
2069,Erkek,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,349271.294267566,Büyük Şehir,Elektronik ve Teknolojik Ürünler,6670.52365950145,15.2521750794222,Etmiyor,obek_3,18.010348697438
2070,Erkek,18-30,Bekar,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,361404.13959811,Küçük Şehir,Spor Malzemeleri,26132.6699137457,20.140466335777,Etmiyor,obek_7,97.9626115250451
2071,Kadın,51-60,Bekar,Üniversite Mezunu,Emekli,480715.086158995,Köy veya Kasaba,Ev ve Mobilya,41933.867057871,32.6274295352192,Etmiyor,obek_5,57.6550326674888
2072,Kadın,51-60,Bekar,Üniversite Mezunu,Emekli,530359.041936532,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,38660.4212795932,30.5701968136005,Etmiyor,obek_6,51.4714969807112
2073,Erkek,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,220233.960173697,Küçük Şehir,Elektronik ve Teknolojik Ürünler,3829.50837758782,10.6478378149381,Etmiyor,obek_5,115.137865976957
2074,Erkek,>60,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,412308.103137784,Büyük Şehir,Giyim,5837.32633187341,14.892942065985,Etmiyor,obek_3,19.6819409882062
2075,Kadın,41-50,Bekar,İlkokul Mezunu,Kendi İşinin Sahibi,341186.501404521,Küçük Şehir,Giyim,26875.0165635285,20.9561704225255,Etmiyor,obek_7,122.992117743053
2076,Kadın,18-30,Evli,Doktora Mezunu,Düzenli ve Ücretli Bir İşi Var,185756.627985409,Küçük Şehir,Kozmetik,5170.67004606497,1.22021669224335,Ediyor,obek_1,9.63318777254606
2077,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,163366.973607694,Büyük Şehir,Elektronik ve Teknolojik Ürünler,4200.1822015448,9.13965588912927,Etmiyor,obek_5,97.5927963162432
2078,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,214928.654992739,Küçük Şehir,Kozmetik,3832.35922520434,8.46777519256024,Etmiyor,obek_5,92.8208047965474
2079,Erkek,41-50,Evli,Eğitimsiz,Düzenli ve Ücretli Bir İşi Var,306097.112978783,Küçük Şehir,Ev ve Mobilya,6330.23701084554,14.9449505754692,Etmiyor,obek_3,16.1335882604173
2080,Kadın,>60,Evli,Eğitimsiz,Kendi İşinin Sahibi,130806.015515535,Küçük Şehir,Giyim,3857.89848397106,23.6297138883169,Etmiyor,obek_2,53.4019634581076
2081,Kadın,18-30,Bekar,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,261434.166642886,Küçük Şehir,Kozmetik,8793.77937189558,57.346259284351,Ediyor,obek_8,145.775708951982
2082,Kadın,51-60,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,488235.894231134,Kırsal,Giyim,41237.5779686168,30.7321977071841,Etmiyor,obek_6,58.8386169840411
2083,Erkek,51-60,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,310947.452094653,Küçük Şehir,Ev ve Mobilya,6285.8687211968,15.1483616141103,Etmiyor,obek_3,17.1529821942941
2084,Kadın,18-30,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,242634.6957635,Küçük Şehir,Spor Malzemeleri,9672.69214147208,45.2780680406882,Etmiyor,obek_8,144.764314173802
2085,Kadın,31-40,Evli,Ortaokul Mezunu,Kendi İşinin Sahibi,358516.655844192,Küçük Şehir,Ev ve Mobilya,25034.7154600029,20.7309328453341,Etmiyor,obek_7,96.419137106741
2086,Erkek,51-60,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,490167.613975179,Kırsal,Spor Malzemeleri,41138.6363276383,28.1842318227881,Etmiyor,obek_6,59.1105649226951
2087,Kadın,51-60,Evli,Yüksekokul Mezunu,Emekli,495052.984319103,Küçük Şehir,Kozmetik,42775.8560795513,30.0163134069913,Etmiyor,obek_6,45.9780346627555
2088,Erkek,41-50,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,351296.157240819,Küçük Şehir,Elektronik ve Teknolojik Ürünler,30869.5293825278,18.6728800331653,Etmiyor,obek_7,96.2081619915217
2089,Erkek,18-30,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,346507.931654542,Küçük Şehir,Giyim,28171.0079281539,17.966814087637,Etmiyor,obek_7,116.802664635912
2090,Kadın,51-60,Evli,Yüksekokul Mezunu,Emekli,491276.162861303,Köy veya Kasaba,Ev ve Mobilya,40456.5558472591,32.6279968226086,Etmiyor,obek_6,57.3871199772863
2091,Kadın,18-30,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,358528.300677028,Köy veya Kasaba,Giyim,25796.6926177058,17.3023524274257,Etmiyor,obek_7,98.7084588140095
2092,Erkek,18-30,Evli,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,207942.803807016,Büyük Şehir,Elektronik ve Teknolojik Ürünler,4563.46855662846,1.5133361392664,Etmiyor,obek_1,12.6343759281305
2093,Kadın,31-40,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,933855.119853653,Büyük Şehir,Ev ve Mobilya,38211.3645977862,42.9594938743709,Etmiyor,obek_4,110.224199072226
2094,Erkek,31-40,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,206112.346818975,Küçük Şehir,Spor Malzemeleri,4064.59748321336,10.6512393274108,Etmiyor,obek_5,92.4443489398772
2095,Kadın,18-30,Bekar,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,984087.780139047,Büyük Şehir,Spor Malzemeleri,27789.0444983928,41.5615707846377,Etmiyor,obek_1,86.1502378156305
2096,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,719002.106137478,Büyük Şehir,Ev ve Mobilya,37427.8049770209,38.4366251698275,Etmiyor,obek_4,89.6372227584677
2097,Erkek,18-30,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,273657.136980801,Küçük Şehir,Kozmetik,8657.79444787965,45.605323333998,Ediyor,obek_8,120.07196769448
2098,Erkek,>60,Evli,Üniversite Mezunu,Kendi İşinin Sahibi,468409.900730121,Kırsal,Spor Malzemeleri,41463.0464674758,28.7687868086973,Etmiyor,obek_6,46.3667819052123
2099,Erkek,41-50,Bekar,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,343767.79788853,Büyük Şehir,Ev ve Mobilya,19926.1234808149,22.1260069888983,Ediyor,obek_7,111.233475425142
2100,Kadın,18-30,Bekar,Yüksekokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,634671.670880007,Büyük Şehir,Elektronik ve Teknolojik Ürünler,37478.8801480827,39.8252895654109,Etmiyor,obek_4,111.647205821233
2101,Erkek,41-50,Bekar,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,242895.258200595,Büyük Şehir,Giyim,5496.85404045486,7.02518120929836,Etmiyor,obek_1,11.5304056537431
2102,Kadın,18-30,Evli,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,836615.598940813,Büyük Şehir,Kozmetik,33096.2038609181,35.855379777848,Etmiyor,obek_4,102.504510044124
2103,Erkek,18-30,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,331096.756124734,Küçük Şehir,Ev ve Mobilya,24128.3239541731,19.4141394868866,Etmiyor,obek_7,94.8996856012094
2104,Erkek,31-40,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,226403.411356071,Küçük Şehir,Spor Malzemeleri,3522.97724630724,7.62088884839827,Etmiyor,obek_4,88.7142307361501
2105,Kadın,18-30,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,921974.697230922,Büyük Şehir,Spor Malzemeleri,33014.7660600093,42.939776906321,Etmiyor,obek_4,95.0058298051863
2106,Erkek,31-40,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,359620.066484112,Köy veya Kasaba,Spor Malzemeleri,28571.6543215395,20.3006268205494,Etmiyor,obek_7,104.697532498007
2107,Erkek,51-60,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,295561.330376039,Büyük Şehir,Spor Malzemeleri,6182.15761581955,16.61037009589,Etmiyor,obek_3,23.2307563403494
2108,Kadın,51-60,Evli,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,151115.997370729,Köy veya Kasaba,Elektronik ve Teknolojik Ürünler,5283.43652735313,12.6666737801696,Etmiyor,obek_2,46.3868085392649
2109,Erkek,31-40,Evli,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,189287.879287491,Küçük Şehir,Spor Malzemeleri,3581.39340161202,9.63360820542934,Etmiyor,obek_5,122.660037475498
2110,Kadın,31-40,Bekar,Doktora Ötesi,İşsiz veya Düzenli Bir İşi Yok,879014.806994892,Kırsal,Giyim,33620.0490445966,40.6851724867186,Etmiyor,obek_4,105.578910055571
2111,Kadın,18-30,Evli,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,182253.36352092,Küçük Şehir,Giyim,5928.06388468278,6.63795082343794,Etmiyor,obek_1,10.6546813393591
2112,Erkek,41-50,Bekar,İlkokul Mezunu,Düzenli ve Ücretli Bir İşi Var,369563.875894182,Küçük Şehir,Ev ve Mobilya,27129.4192019006,18.5938705810092,Etmiyor,obek_7,100.001774525071
2113,Erkek,41-50,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,371759.555525093,Küçük Şehir,Giyim,25752.801892834,19.4055852971133,Etmiyor,obek_7,93.1188234563718
2114,Erkek,18-30,Evli,Ortaokul Mezunu,Düzenli ve Ücretli Bir İşi Var,299258.678209322,Büyük Şehir,Ev ve Mobilya,6328.49036211833,14.4089890960019,Etmiyor,obek_3,14.4089890960019
2115,Kadın,51-60,Evli,Üniversite Mezunu,Emekli,491474.647995055,Kırsal,Giyim,43059.9256048651,31.6970286787276,Etmiyor,obek_6,44.5901103913209
2116,Erkek,31-40,Evli,Lise Mezunu,Kendi İşinin Sahibi,337559.941903572,Küçük Şehir,Spor Malzemeleri,6498.96106819827,15.8700048810631,Etmiyor,obek_3,21.9520089142455
2117,Erkek,31-40,Evli,Lise Mezunu,Kendi İşinin Sahibi,309752.624998497,Büyük Şehir,Spor Malzemeleri,6926.49683542009,13.3175489619881,Etmiyor,obek_3,15.2147573035556
2118,Kadın,31-40,Bekar,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,347788.49179116,Büyük Şehir,Giyim,26617.5361875813,20.0605761720788,Etmiyor,obek_7,97.8422835091738
2119,Erkek,18-30,Evli,Üniversite Mezunu,Düzenli ve Ücretli Bir İşi Var,362707.409943923,Küçük Şehir,Elektronik ve Teknolojik Ürünler,26992.3666135842,19.1863215915161,Etmiyor,obek_7,111.407312608509
2120,Kadın,18-30,Evli,Yüksek Lisans Mezunu,Düzenli ve Ücretli Bir İşi Var,336264.864017871,Küçük Şehir,Ev ve Mobilya,26882.0255980047,17.6045900514793,Etmiyor,obek_7,90.870016236488
2121,Kadın,51-60,Evli,Üniversite Mezunu,Emekli,480389.439930723,Kırsal,Kozmetik,41810.7964218199,32.4890244586888,Etmiyor,obek_6,53.404002085825
2122,Erkek,>60,Bekar,Üniversite Mezunu,Kendi İşinin Sahibi,489588.357432421,Kırsal,Ev ve Mobilya,37492.53147954,31.2023959951485,Etmiyor,obek_6,58.8533117035191
2123,Kadın,41-50,Evli,Lise Mezunu,İşsiz veya Düzenli Bir İşi Yok,166615.59629506,Kırsal,Giyim,3867.4569640276,19.2688981036666,Etmiyor,obek_2,39.6190128851255
2124,Kadın,>60,Bekar,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,141573.051392689,Büyük Şehir,Ev ve Mobilya,4489.95185431686,19.2501868280635,Ediyor,obek_2,54.903584258846
2125,Kadın,41-50,Bekar,Ortaokul Mezunu,İşsiz veya Düzenli Bir İşi Yok,143237.24407966,Küçük Şehir,Spor Malzemeleri,4312.61701317355,16.1977454133107,Etmiyor,obek_2,44.1411339184855
2126,Kadın,51-60,Evli,Üniversite Mezunu,Kendi İşinin Sahibi,505777.159812075,Küçük Şehir,Ev ve Mobilya,40582.1897750344,31.6115567147619,Etmiyor,obek_6,55.3033851410167
2127,Kadın,31-40,Evli,Eğitimsiz,İşsiz veya Düzenli Bir İşi Yok,172883.227372019,Büyük Şehir,Ev ve Mobilya,3794.39788920217,18.5178882355341,Etmiyor,obek_2,42.6917198579431
2128,Kadın,18-30,Bekar,Lise Mezunu,Düzenli ve Ücretli Bir İşi Var,239967.895267799,Köy veya Kasaba,Kozmetik,3900.68393594212,10.600966607243,Etmiyor,obek_5,99.4355038039691
2129,Erkek,31-40,Evli,Üniversite Mezunu,Emekli,331813.752162076,Büyük Şehir,Elektronik ve Teknolojik Ürünler,26967.8881307029,18.8531749899301,Etmiyor,obek_7,84.0892912766767
2130,Kadın,41-50,Evli,Üniversite Mezunu,İşsiz veya Düzenli Bir İşi Yok,140964.265022712,Büyük Şehir,Giyim,4151.8161683688,12.3838975689671,Etmiyor,obek_2,49.3904776592178
